BindingDB MonomerID,Ligand SMILES,IC50 (nM)
459249,COc1cc(on1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459256,Cn1cc(cn1)-c1cc(on1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459258,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(no1)-c1ccc(Cl)c(Cl)c1)C(O)=O,
459261,COc1ccccc1-c1cc(no1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459263,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(on1)-c1ccc(Cl)cc1)C(O)=O,
459264,COc1cccc(c1)-c1cc(no1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459266,COc1ccc(cc1)-c1cc(no1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459269,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnc(o1)-c1ccccc1)C(O)=O,
459272,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nc(no1)-c1ccccc1Cl)C(O)=O,
459274,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnc(cn1)C(O)=O)C(O)=O,
300740,OCC(CC(Cc1ccccc1)NC(=O)c1cc(Cl)c2nc[nH]c2c1)C(O)=O,
300743,OCC(CC(Cc1ccccc1)NC(=O)c1ccc2nn[nH]c2n1)C(O)=O,
300747,OCC(CC(Cc1ccccc1)NC(=O)c1cc(=O)c(O)co1)C(O)=O,
300749,CC(CO)(CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nnc(Cl)[nH]1)C(O)=O,
300757,CC(CO)(CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(O)n[nH]1)C(O)=O,
298297,O[C@H](C[C@@H](Cc1ccc(cc1Cl)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
298309,OCC(CC(Cc1ccc(cc1)-c1ccc(F)cc1)NC(=O)C(O)=O)C(O)=O,
298310,OCC(CC(Cc1ccc(cc1Cl)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
298312,C[C@@](CO)(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
298315,C[C@@](CO)(C[C@@H](Cc1ccc(cc1)-c1cccc(F)c1)NC(=O)C(O)=O)C(O)=O,
298316,C[C@@](CO)(C[C@@H](Cc1ccc(cc1)-c1ccccc1F)NC(=O)C(O)=O)C(O)=O,
298319,CC(C)COC(=O)C(=O)N[C@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C[C@@](C)(CO)C(O)=O,
298321,O[C@H](CN(Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(O)=O)C(O)=O,
298322,CCOC(=O)[C@@H](CN(Cc1ccc(Br)cc1)NC(=O)C(=O)OCC)OC(=O)C(=O)OCC,
298322,CCOC(=O)[C@@H](CN(Cc1ccc(Br)cc1)NC(=O)C(=O)OCC)OC(=O)C(=O)OCC,
298326,CC(C)([C@H](C[C@@H](CO)C(O)=O)NC(=O)C(O)=O)c1ccc(cc1)-c1ccccc1,
300706,OC[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nc(Cl)n[nH]1)C(O)=O,
300708,OCC(CC(Cc1ccccc1)NC(=O)c1cnn[nH]1)C(O)=O,
300715,OCC(CC(Cc1ccccc1)NC(=O)c1nc[nH]n1)C(O)=O,
300716,OCC(CC(Cc1ccccc1)NC(=O)c1ncn[nH]1)C(O)=O,
300723,CC(=O)c1cc([nH]n1)C(=O)NC(CC(CO)C(O)=O)Cc1ccccc1,
300724,CN(C)C(=O)c1cc([nH]n1)C(=O)NC(CC(CO)C(O)=O)Cc1ccccc1,
