BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50050138,CC(C)C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,8.657577319177793
50048315,COc1ccc(C[C@H](NC(=O)C2(CCCC2)NC(=O)[C@@H](S)C(C)C)C(O)=O)cc1,8.657577319177793
50051796,COc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2O)C(O)=O)cc1,8.657577319177793
50008603,OS(=O)(=O)CNC(=O)C(CS)Cc1ccccc1,8.657577319177793
50282848,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1Cl)C(=O)N1CCC[C@@H]1C(O)=O,8.657577319177793
50403251,OC(=O)CCN1c2ccccc2SC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O,8.657577319177793
50051804,Cc1cccc(c1)[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)C(O)=O,8.638272163982407
50286907,OC(=O)CC[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)NCC(O)=O,8.638272163982407
50018220,CC(CNC(=O)C(CC(=O)NO)Cc1ccccc1)C(O)=O,8.638272163982407
50050128,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1)C(O)=O,8.638272163982407
50024095,OC(=O)CC(=O)N[C@H](CS)Cc1ccccc1,8.638272163982407
50403258,OC(=O)CCN1c2ccccc2CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O,8.619788758288394
50018212,ONC(=O)CC(Cc1ccccc1)C(=O)NCCC(O)=O,8.619788758288394
50041070,CCC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccccc1,8.619788758288394
50039530,CCSC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O,8.619788758288394
50051790,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)c1cccc(O)c1,8.619788758288394
138393,C[C@H](N[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C(=O)Nc1cc(O)no1)C(O)=O,8.619788758288394
50008591,CC(C)CC(CS)C(=O)Nc1cccc(c1)S([O-])(=O)=O,8.619788758288394
50039537,CCCC(CS)C(=O)N[C@H](CCSC)C(O)=O,8.602059991327963
50291556,OP(O)(=O)C(Cc1ccc2OCOc2c1)N[C@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1,8.602059991327963
50041054,CC(C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O)c1ccccc1,8.602059991327963
50051799,COc1ccc(C[C@H](S)C(=O)NCC(=O)N2[C@@H](CC[C@@H]2c2ccccc2OC)C(O)=O)cc1,8.602059991327963
50503907,CCCCc1nc(Cl)c(CNC(=O)[C@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,8.602059991327963
50041062,COc1ccc(cc1)C(C)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(O)=O,8.602059991327963
50367821,ONC(=O)C[C@H](Cc1ccccc1)NC(=O)CC(O)=O,8.602059991327963
50018218,ONC(=O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)=O,8.602059991327963
50008599,Cc1ccc(CC(CS)C(=O)Nc2cccc(c2)S([O-])(=O)=O)cc1,8.602059991327963
50048305,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccsc1)C(O)=O,8.585026652029182
50282845,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1[C@@H](Cc2ccccc12)C(O)=O,8.585026652029182
50084897,OC(=O)[C@H](Cc1ccc2c(c1)oc1ccccc21)NC(=O)[C@H](Cc1ccc2c(c1)oc1ccccc21)NCP(O)(O)=O,8.568636235841012
50407847,Cc1ccccc1[C@H]1CC[C@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O,8.568636235841012
50286905,CC(NC(=O)[C@@H](CC(COc1ccccc1)C(O)=O)Cc1ccc(cc1)-c1ccccc1)C(O)=O,8.55284196865778
50050153,CCCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,8.55284196865778
50050160,OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1,8.537602002101044
50405952,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(O)=O)c1ccccc1,8.537602002101044
50405949,ONC(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(O)=O)Cc1ccccc1,8.522878745280337
50405951,ONC(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](CC(O)=O)c1ccccc1,8.522878745280337
50056251,OC(=O)[C@@H]1CCCCCc2ccccc2C[C@@H](CS)C(=O)N1,8.522878745280337
